[Summary]
Cell: MAB.210604.001
Description: MAB.210604.001
Protocol: C:\UHPC_data\Mitch\LNO-4.3V-OCV 15min-30C-max 2C.pro
Mass (mg): 0.99
Capacity (mAHr): 0.27209
User: 
Started: 6/4/2021 7:01:40 PM
Version: 3.0
Channel312UHPC6_03
[End Summary]
[Data]
Time (h),Cycle,Step,Meas I (A),Potential (V),Capacity (Ah),Prot.Step
1.19466984535774,1,1,1.39105448E-05,3.47033035,1.66053412265598E-05,0
1.20635584747558,1,1,1.39104722E-05,3.47546611,1.67678985107559E-05,0
1.21961815019128,1,1,1.39104843E-05,3.48083518,1.69523824684833E-05,0
1.23444729028866,1,1,1.391053025E-05,3.48612073,1.71586624721733E-05,0
1.24928325119808,1,1,1.39105217E-05,3.4911245,1.73650373545473E-05,0
1.26554425380425,1,1,1.391043025E-05,3.49619333,1.75912342326317E-05,0
1.28471901467706,1,1,1.391048205E-05,3.50152424,1.78579650467616E-05,0
1.30518005605358,1,1,1.391042405E-05,3.50670536,1.81425877180635E-05,0
1.32728862050126,1,1,1.391046215E-05,3.51197703,1.84501282037751E-05,0
1.35079339839352,1,1,1.391039945E-05,3.51705716,1.87770884796723E-05,0
1.37760039380225,1,1,1.3910385E-05,3.52213951,1.91499826860809E-05,0
1.40707624144607,1,1,1.39102356E-05,3.52716777,1.95600003274748E-05,0
1.44072346170073,1,1,1.39100595E-05,3.53221828,2.00280404950546E-05,0
1.47917305065731,1,1,1.391022155E-05,3.53741156,2.05628801532103E-05,0
1.5191975161312,1,1,1.391023305E-05,3.54244803,2.11196243029538E-05,0
1.56198999318979,1,1,1.391020455E-05,3.5475439,2.17148731220245E-05,0
1.60899937208928,1,1,1.39102759E-05,3.55266513,2.23687871806561E-05,0
1.66083277683605,1,1,1.39100245E-05,3.55780466,2.30897966170901E-05,0
1.71687347727374,1,1,1.390984155E-05,3.56283445,2.38693240698093E-05,0
1.77735066562599,1,1,1.391046885E-05,3.56789147,2.47105706437248E-05,0
1.83664174004411,1,1,1.39104828E-05,3.57291766,2.55353452015366E-05,0
1.89444408862481,1,1,1.39105699E-05,3.57793035,2.63394078356207E-05,0
1.95206602043119,1,1,1.391057565E-05,3.58296561,2.71409582634949E-05,0
2.01257071614543,1,1,1.391061575E-05,3.58808903,2.79826114549907E-05,0
2.07309066897442,1,1,1.39105681E-05,3.59310855,2.88244784668554E-05,0
2.13676060474403,1,1,1.391038175E-05,3.59819651,2.97101593040856E-05,0
2.20026898262566,1,1,1.391047045E-05,3.6032624,3.05935929833911E-05,0
2.26379447798933,1,1,1.39106478E-05,3.60836218,3.1477267132406E-05,0
2.32733226699722,1,1,1.391061885E-05,3.61343302,3.23611133746703E-05,0
2.39278107897845,1,1,1.391045705E-05,3.61848092,3.32715386264417E-05,0
2.46376049182276,1,1,1.39105962E-05,3.62351237,3.42588983044117E-05,0
2.54325191755863,1,1,1.390987865E-05,3.62854657,3.53646513942695E-05,0
2.63017677410085,1,1,1.390983245E-05,3.63359275,3.65737696462298E-05,0
