	Cycle_ID	Cap_Chg	Cap_DChg	Specific_Capacity-Chg	Specific_Capacity-DChg	Efficiency	Engy_Chg	Engy_DChg	Mid-value_Voltage	CC_Chg_Cap	CC_Chg_Rat	Platform_Cap	Platform_RCap	Platform_Efficiency	Platform_Time	Capacitance_Chg	Capacitance_DChg	rd	REngy_Chg	REngy_DChg	Energy_Efficiency
100	226.47	226.40	226472.01	226398.04	99.97	858.64	842.74	3672.1	0.00	0.19	226.40	226398.04	100.00	2:53:35	0.0000	0.0000	0.0000	858636.05	842742.19	98.15%	
101	226.43	226.36	226433.01	226357.28	99.97	858.49	842.59	3672.1	0.00	0.49	226.36	226357.28	100.00	2:53:33	0.0000	0.0000	0.0000	858491.56	842586.79	98.15%	
102	226.39	226.34	226392.18	226341.45	99.98	858.35	842.53	3672.1	0.00	0.00	226.34	226341.45	100.00	2:53:32	0.0000	0.0000	0.0000	858351.32	842531.23	98.16%	
103	226.34	226.26	226338.72	226256.64	99.96	858.16	842.21	3672.1	0.00	0.19	226.26	226256.64	100.00	2:53:28	0.0000	0.0000	0.0000	858156.11	842211.89	98.14%	
104	226.32	226.26	226322.83	226257.15	99.97	858.11	842.22	3672.1	0.00	0.00	226.26	226257.15	100.00	2:53:28	0.0000	0.0000	0.0000	858110.53	842215.56	98.15%	
105	226.27	226.19	226273.16	226192.07	99.96	857.92	841.99	3671.8	0.00	0.48	226.19	226192.07	100.00	2:53:25	0.0000	0.0000	0.0000	857915.12	841993.07	98.14%	
106	232.57	230.54	232574.33	230539.82	99.13	878.72	862.26	3683.9	0.00	1.35	230.54	230539.82	100.00	19:38:09	0.0000	0.0000	0.0000	878722.36	862265.00	98.13%	
107	228.64	225.42	228640.86	225418.73	98.59	866.39	839.01	3670.0	0.00	0.52	225.42	225418.73	100.00	2:52:50	0.0000	0.0000	0.0000	866386.42	839013.71	96.84%	
108	225.73	225.33	225733.94	225333.90	99.82	855.92	838.75	3670.3	0.00	0.50	225.33	225333.90	100.00	2:52:46	0.0000	0.0000	0.0000	855915.83	838752.41	97.99%	
109	221.99	225.22	221991.11	225219.27	101.45	843.10	838.38	3670.3	0.00	0.52	225.22	225219.27	100.00	2:52:41	0.0000	0.0000	0.0000	843097.06	838376.93	99.44%	
